post_id,posted_at,date,year_month,hour,weekday,is_weekend,time_slot,platform,content_type,content_family,category,rate_valid,is_vertical,vertical_segment,influencer_tier,tier_rank,follower_count,follower_band,likes,comments,shares,saves,views,engagement_total,engagement_core,er_follower_reported,er_follower,er_view,deep_rate,save_rate,share_rate,comment_rate,like_rate,eng_per_1k_fans,reach_ratio,hashtag_count,hashtag_bucket,content_length,sentiment,has_media,is_verified
POST_04552,2024-01-01 01:42:00,2024-01-01,2024-01,1,Monday,0,00-05 Late night,Instagram,Carousel,Static image,Business,1,0,Other,Macro,3,223080,200k-1M,8287,247,51,20,29502,8605,8585,3.85,3.857361,29.167514,0.240662,0.067792,0.17287,0.837231,28.089621,38.573606,0.132249,16,11-20,985,Positive,1,0
POST_02171,2024-01-01 05:05:00,2024-01-01,2024-01,5,Monday,0,00-05 Late night,LinkedIn,Document,Text / long-form,Health,1,1,Health,Macro,3,312647,200k-1M,1711,27,247,139,24538,2124,1985,0.63,0.67936,8.655962,1.57307,0.566468,1.006602,0.110033,6.972858,6.793604,0.078485,9,6-10,627,Negative,0,1
POST_00210,2024-01-01 09:18:00,2024-01-01,2024-01,9,Monday,0,06-11 Morning,Instagram,Carousel,Static image,Food,1,0,Other,Macro,3,220737,200k-1M,1527,191,7,359,5460,2084,1725,0.78,0.94411,38.168498,6.703297,6.575092,0.128205,3.498168,27.967033,9.4411,0.024735,27,21-30,79,Positive,1,1
POST_01548,2024-01-01 10:58:00,2024-01-01,2024-01,10,Monday,0,06-11 Morning,Facebook,Video,Short video,Sports,1,1,Sports,Macro,3,428935,200k-1M,535,178,433,740,68246,1886,1146,0.27,0.439694,2.763532,1.718782,1.084313,0.634469,0.260821,0.783929,4.396937,0.159106,17,11-20,554,Neutral,1,0
POST_01350,2024-01-01 13:12:00,2024-01-01,2024-01,13,Monday,0,12-17 Afternoon,Instagram,Photo,Static image,Fitness,1,1,Fitness,Mid-tier,2,64384,50k-200k,9706,35,118,611,25782,10470,9859,15.31,16.261804,40.609728,2.827554,2.36987,0.457684,0.135754,37.64642,162.618042,0.400441,5,1-5,1136,Positive,1,0
POST_01582,2024-01-02 01:24:00,2024-01-02,2024-01,1,Tuesday,0,00-05 Late night,Twitter,Poll,Story / interactive,Sports,1,1,Sports,Macro,3,421886,200k-1M,3767,83,522,242,59434,4614,4372,1.04,1.09366,7.763233,1.28546,0.407174,0.878285,0.139651,6.338123,10.936604,0.140877,19,11-20,1611,Negative,1,0
POST_02656,2024-01-02 03:01:00,2024-01-02,2024-01,3,Tuesday,0,00-05 Late night,Twitter,Poll,Story / interactive,Lifestyle,1,0,Other,Macro,3,259275,200k-1M,1558,71,676,92,45929,2397,2305,0.89,0.924501,5.218925,1.672146,0.200309,1.471837,0.154586,3.392192,9.24501,0.177144,25,21-30,1406,Negative,1,0
POST_00196,2024-01-02 16:59:00,2024-01-02,2024-01,16,Tuesday,0,12-17 Afternoon,Twitter,Thread,Text / long-form,Education,1,0,Other,Micro,1,30966,10k-50k,599,222,787,314,68904,1922,1608,5.19,6.206807,2.789388,1.597875,0.455706,1.142169,0.322187,0.869325,62.068075,2.22515,1,1-5,399,Negative,1,0
POST_00749,2024-01-02 19:22:00,2024-01-02,2024-01,19,Tuesday,0,18-23 Evening,YouTube,Live,Live,Food,1,0,Other,Macro,3,395761,200k-1M,6062,754,540,1640,947740,8996,7356,1.86,2.273089,0.949205,0.230021,0.173043,0.056978,0.079558,0.639627,22.730891,2.394728,22,21-30,109,Neutral,0,0
POST_03049,2024-01-02 20:04:00,2024-01-02,2024-01,20,Tuesday,0,18-23 Evening,Twitter,Thread,Text / long-form,Travel,1,0,Other,Macro,3,478824,200k-1M,597,22,339,74,67556,1032,958,0.2,0.215528,1.527622,0.611345,0.109539,0.501806,0.032566,0.883711,2.15528,0.141087,22,21-30,1445,Neutral,1,1
