weekday,weekday_no,time_slot,n,er_view_pooled,deep_rate_pooled,mean_views
Monday,1,00-05 Late night,37,8.1666,1.6611,83694.0
Monday,1,06-11 Morning,36,6.9022,1.5362,96813.0
Monday,1,12-17 Afternoon,44,6.3427,1.2276,134380.0
Monday,1,18-23 Evening,44,9.5084,1.3929,117717.0
Tuesday,2,00-05 Late night,38,10.2006,1.7374,89506.0
Tuesday,2,06-11 Morning,43,6.7235,1.3105,97732.0
Tuesday,2,12-17 Afternoon,36,7.4244,1.1757,143638.0
Tuesday,2,18-23 Evening,39,5.8901,1.0784,156679.0
Wednesday,3,00-05 Late night,38,8.2267,1.5733,95262.0
Wednesday,3,06-11 Morning,51,6.5125,1.1749,124301.0
Wednesday,3,12-17 Afternoon,41,10.0129,1.3244,124695.0
Wednesday,3,18-23 Evening,46,9.7089,1.8374,88433.0
Thursday,4,00-05 Late night,46,8.2211,1.2544,94896.0
Thursday,4,06-11 Morning,34,12.1819,1.8666,76200.0
Thursday,4,12-17 Afternoon,42,7.2139,1.1896,143343.0
Thursday,4,18-23 Evening,42,9.9421,1.5576,123461.0
Friday,5,00-05 Late night,31,7.7844,1.5429,123587.0
Friday,5,06-11 Morning,41,7.0339,1.1727,137519.0
Friday,5,12-17 Afternoon,35,9.2171,2.1551,66649.0
Friday,5,18-23 Evening,43,7.8378,1.2965,127011.0
Saturday,6,00-05 Late night,44,8.0457,1.754,119940.0
Saturday,6,06-11 Morning,46,10.4413,1.6326,109962.0
Saturday,6,12-17 Afternoon,36,6.0098,0.9282,128768.0
Saturday,6,18-23 Evening,39,7.9339,1.5201,126549.0
Sunday,7,00-05 Late night,31,4.9968,1.0401,160833.0
Sunday,7,06-11 Morning,40,9.2167,1.6585,101169.0
Sunday,7,12-17 Afternoon,43,6.0004,0.9815,173591.0
Sunday,7,18-23 Evening,29,8.3621,1.2803,121427.0
