hour,n,er_view_pooled,deep_rate_pooled
0,45,7.9072,1.3671
1,42,8.8778,1.6631
2,47,9.0877,1.711
3,45,6.8854,1.3107
4,49,7.6845,1.7583
5,37,6.7671,1.2175
6,48,6.8783,1.0791
7,48,9.4238,1.41
8,58,6.1186,1.1947
9,52,9.2076,1.6477
10,43,9.6017,1.6294
11,42,10.6176,2.2948
12,47,6.7963,1.314
13,53,5.8093,0.9358
14,45,8.7956,1.2653
15,48,8.205,1.3026
16,45,6.2943,1.1178
17,39,8.4002,1.4586
18,45,7.3468,1.3449
19,37,8.4149,1.3052
20,54,10.1055,1.5932
21,52,8.7848,1.475
22,55,7.0048,1.3414
23,39,8.9063,1.3876
