year_month,n,total_views,total_engagement,er_view_pooled
2024-01,49,5701237,431916,7.5758
2024-02,46,6563752,560568,8.5404
2024-03,48,7127552,433515,6.0822
2024-04,65,6907977,525061,7.6008
2024-05,58,6076676,389328,6.4069
2024-06,42,4833457,349867,7.2384
2024-07,42,5527536,415016,7.5082
2024-08,36,2835889,335991,11.8478
2024-09,29,4543000,230327,5.0699
2024-10,42,6158744,547138,8.8839
2024-11,62,6048329,546370,9.0334
2024-12,36,3816636,252359,6.6121
2025-01,53,4213837,363960,8.6373
2025-02,40,2730280,302758,11.0889
2025-03,37,5390368,429042,7.9594
2025-04,52,6333967,388110,6.1274
2025-05,33,3087261,221074,7.1608
2025-06,46,5665728,498373,8.7963
2025-07,50,5787983,518265,8.9542
2025-08,50,5069008,412708,8.1418
2025-09,41,4909390,410003,8.3514
2025-10,58,6521800,566985,8.6937
2025-11,52,7320423,688493,9.4051
2025-12,48,7878869,484171,6.1452
